nome,cpf,idade,data,endereco,estado
Sr. Vitor Gabriel Silva,640.719.385-01,90,1933-12-06,Endereço inválido,RONDÔNIA
Calebe Santos,651.297.384-46,40,1984-03-06,Endereço inválido,RIO DE JANEIRO
Maria Julia Castro,164.750.293-43,76,1947-04-12,Endereço inválido,PERNAMBUCO
Arthur Da Rosa,085.167.249-30,53,1970-04-16,Endereço inválido,SANTA CATARINA
Juan Pereira,520.876.319-21,68,1955-10-25,Endereço inválido,RIO DE JANEIRO
Dra. Ana Laura Ribeiro,210.764.589-20,69,1954-05-09,Endereço inválido,DISTRITO FEDERAL
Maria Clara Araújo,960.342.175-80,41,1983-03-14,Endereço inválido,PARANÁ
Vitória Oliveira,302.568.479-83,31,1993-03-10,Endereço inválido,RORAIMA
Benjamin Oliveira,451.896.703-84,49,1974-05-16,Endereço inválido,ACRE
Pietro Barros,843.095.172-50,51,1972-08-19,Endereço inválido,MINAS GERAIS
Samuel Cavalcanti,520.679.841-01,89,1934-11-26,Endereço inválido,RORAIMA
Ian Da Costa,384.172.609-78,23,2001-01-21,Endereço inválido,GOIÁS
Dr. Emanuel Costa,736.581.942-19,55,1969-03-09,Endereço inválido,GOIÁS
Larissa Da Cruz,128.953.704-60,83,1940-11-22,Endereço inválido,MATO GROSSO DO SUL
Diogo Carvalho,078.153.294-97,83,1941-03-10,Endereço inválido,MARANHÃO
Sr. Anthony Almeida,305.184.962-60,37,1987-02-03,Endereço inválido,BAHIA
Clara Martins,397.201.856-86,77,1947-03-14,Endereço inválido,BAHIA
Dr. Luiz Felipe Cardoso,374.691.850-20,69,1954-07-20,Endereço inválido,AMAPÁ
Sr. Calebe Lopes,135.796.802-77,62,1961-10-19,Endereço inválido,CEARÁ
Miguel Monteiro,097.521.834-41,54,1969-06-27,Endereço inválido,ACRE
Srta. Catarina Da Mata,468.751.390-57,81,1942-07-05,Endereço inválido,ACRE
João Gabriel Araújo,625.904.731-25,73,1950-09-13,Endereço inválido,RORAIMA
Sr. Nicolas Azevedo,036.458.921-33,35,1989-01-18,Endereço inválido,RIO DE JANEIRO
Kamilly Caldeira,508.379.462-47,44,1979-07-04,Endereço inválido,MATO GROSSO DO SUL
Renan Araújo,186.970.354-57,79,1945-03-06,Endereço inválido,SÃO PAULO
Vicente Nascimento,054.921.378-32,63,1961-02-22,Endereço inválido,CEARÁ
Isaac Rocha,873.402.691-69,57,1966-11-30,Endereço inválido,RIO DE JANEIRO
Julia Das Neves,819.402.563-05,60,1963-08-28,Endereço inválido,PARANÁ
Breno Rodrigues,196.540.732-34,95,1928-10-24,Endereço inválido,MARANHÃO
Isabel Nogueira,968.502.347-65,63,1960-10-21,Endereço inválido,PIAUÍ
Anthony Araújo,208.157.463-26,38,1985-09-07,Endereço inválido,TOCANTINS
Sra. Marina Da Cunha,067.152.389-95,55,1968-09-09,Endereço inválido,AMAZONAS
